comment,user_id,campaign_id,timestamp,posted_date,emoji_used,hashtag_count,base_comment_score,emoji_score,engagement_score
unde at dolorem,2,1,13-04-2023 08:04,April 14,yes,1,1,2,4
quae ea ducimus,3,1,13-04-2023 08:04,April 14,no,2,1,0,3
alias a voluptatum,5,1,13-04-2023 08:04,April 14,no,4,1,0,5
facere suscipit sunt,14,1,13-04-2023 08:04,April 14,yes,2,1,2,5
totam eligendi quaerat,17,1,13-04-2023 08:04,April 14,yes,1,1,2,4
vitae quia aliquam,21,1,13-04-2023 08:04,April 14,no,2,1,0,3
exercitationem occaecati neque,24,1,13-04-2023 08:04,April 14,yes,0,1,2,3
sint ad fugiat,31,1,13-04-2023 08:04,April 14,no,5,1,0,6
nesciunt aut nesciunt,36,1,13-04-2023 08:04,April 14,no,6,1,0,7
laudantium ut nostrum,41,1,13-04-2023 08:04,April 14,yes,2,1,2,5
omnis aut asperiores,52,1,13-04-2023 08:04,April 14,yes,1,1,2,4
et eum molestias,54,1,13-04-2023 08:04,April 14,no,3,1,0,4
alias pariatur neque,55,1,13-04-2023 08:04,April 14,yes,1,1,2,4
amet iure adipisci,57,1,13-04-2023 08:04,April 14,no,2,1,0,3
cum enim repellat,62,1,13-04-2023 08:04,April 14,no,4,1,0,5
provident dolorem non,63,1,13-04-2023 08:04,April 14,yes,2,1,2,5
eos consequuntur impedit,66,1,13-04-2023 08:04,April 14,yes,1,1,2,4
voluptas nemo blanditiis,71,1,13-04-2023 08:04,April 14,no,2,1,0,3
id fugit dolores,72,1,13-04-2023 08:04,April 14,yes,0,1,2,3
occaecati tenetur exercitationem,75,1,13-04-2023 08:04,April 14,no,5,1,0,6
quasi deserunt voluptates,76,1,13-04-2023 08:04,April 14,no,6,1,0,7
reprehenderit sunt cumque,78,1,13-04-2023 08:04,April 14,yes,2,1,2,5
non impedit ut,87,1,13-04-2023 08:04,April 14,yes,1,1,2,4
voluptatum sit id,91,1,13-04-2023 08:04,April 14,no,3,1,0,4
tenetur voluptas aspernatur,98,1,13-04-2023 08:04,April 14,yes,1,1,2,4
in veritatis quia,3,2,13-04-2023 08:04,April 14,no,2,1,0,3
quis facilis ea,5,2,13-04-2023 08:04,April 14,no,4,1,0,5
quia est sit,14,2,13-04-2023 08:04,April 14,yes,2,1,2,5
voluptatem doloremque accusamus,15,2,13-04-2023 08:04,April 14,yes,1,1,2,4
consectetur inventore quis,18,2,13-04-2023 08:04,April 14,no,2,1,0,3
sunt dolorem reprehenderit,19,2,13-04-2023 08:04,April 14,yes,0,1,2,3
omnis omnis nulla,21,2,13-04-2023 08:04,April 14,no,5,1,0,6
ullam in facilis,24,2,13-04-2023 08:04,April 14,no,6,1,0,7
possimus consequuntur occaecati,28,2,13-04-2023 08:04,April 14,yes,2,1,2,5
voluptas dicta aut,30,2,13-04-2023 08:04,April 14,yes,1,1,2,4
explicabo qui ipsum,31,2,13-04-2023 08:04,April 14,no,3,1,0,4
qui pariatur dolor,35,2,13-04-2023 08:04,April 14,yes,1,1,2,4
ratione debitis laborum,36,2,13-04-2023 08:04,April 14,no,2,1,0,3
voluptate id dignissimos,41,2,13-04-2023 08:04,April 14,no,4,1,0,5
tempore quod possimus,42,2,13-04-2023 08:04,April 14,yes,2,1,2,5
corporis ut necessitatibus,43,2,13-04-2023 08:04,April 14,yes,1,1,2,4
culpa aut aut,47,2,13-04-2023 08:04,April 14,no,2,1,0,3
rem quia et,48,2,13-04-2023 08:04,April 14,yes,0,1,2,3
eaque dolor velit,54,2,13-04-2023 08:04,April 14,no,5,1,0,6
non odit rerum,57,2,13-04-2023 08:04,April 14,no,6,1,0,7
accusamus nobis quod,60,2,13-04-2023 08:04,April 14,yes,2,1,2,5
beatae dicta recusandae,65,2,13-04-2023 08:04,April 14,yes,1,1,2,4
culpa a ut,66,2,13-04-2023 08:04,April 14,no,3,1,0,4
quis aliquam velit,71,2,13-04-2023 08:04,April 14,yes,1,1,2,4
aspernatur occaecati tempore,75,2,13-04-2023 08:04,April 14,no,2,1,0,3
vel eos et,76,2,13-04-2023 08:04,April 14,no,4,1,0,5
quam fugiat tempore,82,2,13-04-2023 08:04,April 14,yes,2,1,2,5
dolor alias aut,85,2,13-04-2023 08:04,April 14,yes,1,1,2,4
ut in eaque,87,2,13-04-2023 08:04,April 14,no,2,1,0,3
totam nostrum dicta,91,2,13-04-2023 08:04,April 14,yes,0,1,2,3
